id,name,b_exp,crit,final_crit,crit_res,final_crit_res,dodge,final_dodge,final_aspd,hit,final_hit,j_exp,m_def,final_m_def,final_m_dmg_bonus,final_m_dmg_res,m_dps,m_pen,final_m_pen,m_dmg_bonus,m_dmg_res,max_hp,loc_id,p_def,final_p_def,p_dps,final_p_dmg_bonus,final_p_dmg_res,final_p_pen,p_pen,p_reflect,p_dmg_res,p_dmg_bonus,level,res_id,description,zeny,size,attr,race,loc
10117,requiem,253.0,87.0,,87.0,,87.0,,,87.0,,152.0,347.0,,,,3512.0,173.0,,289.0,,224568.0,1360.0,520.0,,5268.0,,,,260.0,,,,62.0,10117.0," Carpenters who took part in building the Sphinx Cavern and were forcibly buried together upon completion of the construction. While the power of the Sphinx has allowed them to gain eternal life, they can never be freed from the pressure of toil. According to hearsay in Morroc, mysterious individuals from the church are summoning adventurers to help them transcend humanely.",86.0,medium,shadow,demi-human,Sphinx Cavern
10118,marduk,200.0,71.0,,71.0,,71.0,,,71.0,,334.0,427.0,,,,5271.0,213.0,,,,201495.0,1360.0,284.0,,7906.0,,,,142.0,,,214.0,57.0,10118.0," Originally an ancient Egyptian warlock, but turned undead after absorbing the power of the Sphinx. Nobody knows what form they actually take under those robes. Looking at them from the side reveals that they don't even have legs. Their magical powers also differ from the known system. The Mage Guild seems to be investigating the matter in secret.",108.0,large,fire,demi-human,Sphinx Cavern
10119,pasana,321.0,93.0,,93.0,,93.0,,,93.0,,321.0,561.0,,,,7619.0,280.0,,,,382507.0,1360.0,374.0,,5079.0,,,,187.0,,,324.0,64.0,10119.0," Nobody knows their exact identity, and whether a rotting visage lies underneath their mask is a matter of everyone's imagination. Currently, the most common guess at their identity is that they were tomb robbers who coveted Osiris' treasure. Yet, despite being tomb robbers themselves, they have now become obstacles for their peers. Adventurers, do be careful.",129.0,large,fire,demi-human,Sphinx Cavern
10120,orc zombie,295.0,121.0,,121.0,,121.0,,,121.0,,491.0,604.0,,,,22184.0,242.0,,486.0,,702868.0,1270.0,604.0,,33275.0,,,,362.0,,,,72.0,10120.0," If an orc fights to its last moments without giving up and chooses with the strength of its will to fight on after death, it will turn into a Zombie. They know no pain and never give up, forever carrying on the glory of the race. However, nobody knows where this strange magic comes from. Perhaps it is from traditional orc shaman magic.",150.0,large,undead,undead,Orc Dungeon
10121,orc warrior,210.0,133.0,,465.0,,465.0,,,133.0,,630.0,332.0,,,,25223.0,399.0,,,,830591.0,1240.0,332.0,,16815.0,,,,266.0,,,565.0,75.0,10121.0," The Orcs are the best example of a race in which all members are soldiers. They usually reside peacefully outside Geffen, but once another race invades, every resident of the lowest class turns into a soldier and obeys the High Orc's commands to defend the honor of the race. Listen to their war cries carefully. They seem to be saying, ""Let's fight, mortals!""",150.0,large,earth,demi-human,Orc Village
10122,orc skeleton,429.0,137.0,,480.0,,480.0,,,137.0,,429.0,343.0,,,,34439.0,411.0,,,,876636.0,1270.0,343.0,,22960.0,,,,274.0,,,593.0,76.0,10122.0," The shaman magic handed down amongst Orcs can turn the strongest Orcs into evil creatures. This type of Orc Skeleton not only possess the battle prowess of Orcs, but also the mysterious power of immortality. Their heads can rotate 360 degrees, preventing sneak attacks. The shields and battle axes in their hands are the symbols of power of the best warriors in the Orc race.",150.0,large,undead,undead,Orc Dungeon
10123,orc lady,328.0,170.0,,170.0,,170.0,,,170.0,,328.0,1022.0,,,,10455.0,511.0,,,,971814.0,1240.0,681.0,,6970.0,,,,341.0,,,830.0,83.0,10123.0," A female orc, but its combat abilities are in no way inferior to the male orcs'. If you touch its child, you may be pursued to the end of the world by the rampaging female orc. Their persistence and stubbornness exceed those of male Orc Warriors. Apparently, the last adventurer who challenged a female orc ran off to hide on Comodo. The orcs are indeed a scary race...",116.0,medium,earth,demi-human,Orc Village
10124,zenorc,334.0,175.0,,175.0,,175.0,,,175.0,,334.0,875.0,,,,8181.0,350.0,,867.0,,1020492.0,1270.0,875.0,,12271.0,,,,525.0,,,,84.0,10124.0," It is said that they are a branch of orcs cursed as punishment. They have mutated and lost their original orc forms. However, their combat abilities seem entirely unaffected. Their gigantic mutated palms deal more damage instead and the dark and cursed shaman powers seem to have infused them with an unfaltering battle spirit.",116.0,medium,shadow,demi-human,Orc Dungeon
10125,hunter fly,69.0,21.0,,21.0,,21.0,,,21.0,,41.0,124.0,,,,153.0,62.0,,,,7083.0,1040.0,83.0,,229.0,,,,41.0,,,42.0,40.0,10125.0," The formidable ones of the Chonchons. Apart from the color mutation and the difference in combat abilities caused by their living environment, no significant difference has yet been found between them and normal Chonchons. They live in groups for long periods of time in the Labyrinth Forest. Be extra careful not to become entangled with them, or else you may be attacked in swarms.",30.0,small,wind,insect,Labyrinth Forest
10126,orc archer,358.0,194.0,,194.0,,194.0,,,194.0,,358.0,775.0,,,,16049.0,388.0,,1024.0,,1231545.0,1270.0,1163.0,,24074.0,,,,581.0,,,,88.0,10126.0," An Orc that uses a bow and arrows as its weapons. Due to their accurate control of strength and excellent eyesight, powerful shots can still be fired despite their very crude equipment.",102.0,medium,earth,demi-human,Orc Dungeon
10127,high orc,649.0,184.0,,184.0,,184.0,,,184.0,,389.0,737.0,,,,33952.0,369.0,,943.0,,1684023.0,1240.0,1106.0,,22635.0,,,,553.0,,,,86.0,10127.0," An Orc Warrior who has already proved itself, thereby obtaining superior equipment. It is the main force in battles and has an intelligence exceeding normal orcs, knowing how to lead soldiers instead of using merely brute force. Of course, that's judging by orc standards.",148.0,large,fire,demi-human,Orc Village
10128,mace-wielding kobold,335.0,125.0,,125.0,,125.0,,,125.0,,201.0,624.0,,,,5033.0,249.0,,511.0,,495508.0,1250.0,624.0,,7549.0,,,,374.0,,,,73.0,10128.0," A Chain-wielding Kobold warrior with the inborn pure and virtuous gaze of the Kobold race. However, don't underestimate it. If you are hit by a sweep of the Kobold's Chain, the wound will take very long to heal, probably caused by the Chain's special material. Even Doctor Wallace who specializes in unusual illnesses opines that at least two months of treatment will be needed.",100.0,medium,fire,demi-human,Kordt Forest
10129,hammer-wielding kobold,286.0,137.0,,137.0,,137.0,,,137.0,,286.0,685.0,,,,7258.0,274.0,,593.0,,584424.0,1250.0,685.0,,10887.0,,,,411.0,,,,76.0,10129.0," A Hammer-wielding Kobold warrior with the inborn pure and virtuous gaze of the Kobold race. However, don't underestimate it. It is said that they have the greatest strength in the entire Kobold race. A smash from them may cause an immediate loss of mobility. ""Between the Hammer-wielding Kobolds and the Orcs, I wonder whose strength is greater?"" Bertha pushed up her glasses and swiftly began calculating in her notes.",100.0,medium,poison,demi-human,Kordt Forest
10130,kobold archer,161.0,166.0,,580.0,,580.0,,,166.0,,161.0,414.0,,,,4276.0,497.0,,,,462351.0,1250.0,414.0,,6414.0,,,,331.0,,,794.0,82.0,10130.0," A Kobold good at using crossbows and with the proven ability to craft crossbows independently. Being the intelligent ones in the Kobold race, they have the most complete set of weapon crafting abilities. Apparently, a majority of the weapons used by other Kobolds are made by them too.",58.0,small,fire,demi-human,Kordt Forest
10131,axe-wielding kobold,340.0,180.0,,180.0,,180.0,,,180.0,,340.0,1078.0,,,,11178.0,539.0,,,,1070770.0,1250.0,719.0,,7452.0,,,,359.0,,,904.0,85.0,10131.0, A Kobold good at using axes. They keep a superficial peace with the Hammer-wielding Kobolds and are not happy with them taking the title of the strongest. They are always on the lookout for opportunities to prove their standing in the race.,116.0,medium,wind,demi-human,Kordt Forest
10132,jakk,206.0,129.0,,451.0,,451.0,,,129.0,,69.0,322.0,,,,5077.0,386.0,,,,262048.0,1260.0,322.0,,3385.0,,,,258.0,,,538.0,74.0,10132.0," An elegant gentleman in black formal wear with a peculiar smile on his face all year round. His head is not really a pumpkin. Adventurers bold enough to touch it, please remember to share how it felt like with the Monster Society. Halloween's trendiest Pumpkin decorations are supposedly created with his head as inspiration.",50.0,small,fire,formless,Geffen Dungeon 1F
10133,marionette,149.0,145.0,,145.0,,145.0,,,145.0,,149.0,582.0,,,,5140.0,291.0,,651.0,,324557.0,1260.0,873.0,,7710.0,,,,436.0,,,,78.0,10133.0," A monster wandering around blindly underground in Geffen. Origin unknown. Nobody knows who is manipulating their controllers, and these cute dolls don't seem to have self-consciousness either. The most common theory is that the Marionette is a taboo product from the secret experiments of Alchemists, and many innocent lives seem to have been sacrificed. After hearing of this rumor, the Alchemist Guild specially issued a clarification notice. However, it feels even more suspicious. All sorts of rumors damaging to the Alchemist Guild are still circulating in Midgard.",50.0,small,ghost,demi-human,Geffen Dungeon 1F
10134,deviruchi,246.0,170.0,,170.0,,170.0,,,170.0,,82.0,1022.0,,,,6505.0,511.0,,,,485907.0,1290.0,681.0,,4337.0,,,,341.0,,,830.0,83.0,10134.0," A troublemaker amongst Demons. It holds a mini trident in its hand, has a sly look on its face, and teasing its prey is its favorite activity. It dreams of becoming a great Demon, but this dream is crushed again and again by heartless adventurers. ""Look at those little wings on its back. They're just so cute! Who would believe it to be a Demon?"" Alexia picked up the struggling Deviruchi with her formidable powers, no less expected of the famous mischief maker of Geffen.",58.0,small,shadow,demi-human,Geffen Dungeon 2F
10135,nightmare,660.0,189.0,,189.0,,189.0,,,189.0,,396.0,756.0,,,,28620.0,378.0,,983.0,,1764392.0,1290.0,1134.0,,42930.0,,,,567.0,,,,87.0,10135.0," Demons born from people's nightmares. Their pairs of eyes forever gazing into the void can look into people's hearts, see their inner fears, and bring them forth in the form of dreams. Legend has it that they are the Mounts of Spirit Knights and can come and go freely across the boundaries of the living and the dead. However, stay away from them if you still want a good night's sleep.",150.0,large,ghost,demi-human,Geffen Dungeon 2F
10136,cramp,287.0,219.0,0.0729,765.0,0.14581,765.0,0.14581,,219.0,0.0729,96.0,547.0,0.14581,0.0729,-0.14581,8551.0,656.0,0.0729,,,1108252.0,1740.0,547.0,0.14581,12827.0,0.14581,-0.14581,0.14581,437.0,,,1603.0,92.0,10136.0," Compared to a common Tarou, Cramps have a sturdier body and tougher fur, making them better able to survive in the perilous Clock Tower. When threatened, Cramps will concentrate magic onto the fur on their back, forming sharp spines which they use to attack or defend. This is particularly useful when their opponent lets down their guard, allowing Cramps to gain the upper hand with a surprise attack.""Don't underestimate Cramps just because they're small and cute! That's just asking to be turned into a Muka!"" The Monster Master raps his hand against the blackboard, emphasizing a crucial lesson for his students at the end of term.",54.0,small,poison,brute,Clock Tower B1
10137,punk,150.0,237.0,0.07908,237.0,0.15816,237.0,0.15816,,237.0,0.07908,250.0,1423.0,0.15816,0.07908,-0.15816,16623.0,712.0,0.07908,,,1458672.0,1720.0,949.0,0.15816,24935.0,0.15816,-0.15816,0.15816,474.0,,,2078.0,95.0,10137.0," The Punk that inhabits one of the floors of the Clock Tower has a round body and shimmering eyes, but don't be fooled by its cute exterior. Born of dust, these monsters are very cunning and flutter their long ears to appeal to passing humans. Once their ""prey"" lets down their guard, the monster will reveal its savage nature...""I don't want to think about that day again. It was a nightmare. It was as tame as a Pufferfish, then it opened its bloody maw and nearly tore my neck open with its sharp teeth!"" A fearful patient has a hand over his chest as he lies on the hospital bed in the Aldebaran Municipal Hospital.",56.0,small,wind,plant,Clock Tower 1F
10138,bathory,485.0,225.0,0.07494,225.0,0.14989,225.0,0.14989,,225.0,0.07494,291.0,1349.0,0.14989,0.14989,-0.14989,31685.0,674.0,0.14989,,,2446084.0,1760.0,899.0,0.14989,21123.0,0.07494,-0.14989,0.07494,450.0,,,1760.0,93.0,10138.0," When one thinks of witches, one typically associates them with black cats, magic cauldrons, and flying brooms. However, the Bathories of the Clock Tower are clearly different from the witches of rumor. They don't have black cats or cauldrons, and merely fly around on their brooms all year long in search of fresh blood to nourish themselves. Also, unreliable sources indicate that Bathories are afraid of the dust-born Punks. I wonder why?""Ah... Achoo!"" A Bathory lets out a loud sneeze while riding her broom and wipes at her nose in disgust. That looks a lot like an allergy.",109.0,medium,shadow,demi-human,Clock Tower 2F
10139,alarm,296.0,231.0,0.077,231.0,0.154,231.0,0.154,,231.0,0.077,493.0,924.0,0.154,0.154,-0.154,23477.0,462.0,0.154,1918.0,,2679174.0,1750.0,1386.0,0.154,15652.0,0.077,-0.154,0.077,693.0,,,,94.0,10139.0," Monsters with clock-like appearances tend to be obsessed with time, and Alarms are one of the more meticulous ones. The guards stationed outside the Clock Tower will always hear alarms ringing from within the building at the same time every day. The Alarms wake up on time, hunt on time, eat on time, and even sleep on time. That's right, they're as rigid as the most well-trained soldier and keep time down to the second.""That's... That's horrible... It reminds me of my time in boot camp... Sob..."" The newly-arrived recruit for Clock Tower guard duty covers his face. He looks like he's about to cry.",111.0,medium,neutral,formless,Clock Tower B2
10141,clock,636.0,263.0,0.08776,921.0,0.17552,921.0,0.17552,,263.0,0.08776,212.0,658.0,0.17552,0.17552,-0.17552,36019.0,790.0,0.17552,,,3945566.0,1750.0,658.0,0.17552,24013.0,0.08776,-0.17552,0.08776,527.0,,,2754.0,99.0,10141.0," Clocks are a slow-moving monster. Its cumbersome frame makes it difficult to actively hunt prey, so it tends to wait for a chance to strike. Unfortunately, long waits can sometimes put Clocks into a dormant state, giving them the appearance of a regular grandfather clock. Once upon a time in Aldebaran, a man mistakenly brought a dormant Clock into his shop, thinking it was an antique he could sell. It took an army of guards to put down the threat.",118.0,medium,earth,formless,Clock Tower B2
10142,clock tower manager,645.0,270.0,0.09005,946.0,0.1801,946.0,0.1801,,270.0,0.09005,645.0,675.0,0.1801,0.1801,-0.1801,75366.0,810.0,0.1801,,,6339167.0,1750.0,675.0,0.1801,50244.0,0.09005,-0.1801,0.09005,540.0,,,2935.0,100.0,10142.0," These guardians have been devoutly guarding the iconic building of Aldebaran for a very long time. No one knows where they come from, only that they've existed since the Clock Tower was built. Some fanatical Monster Researchers snuck into the heavily-guarded Clock Tower in an attempt to solve this mystery, but all they found were strange letters etched onto the monster's bodies...""R.B.517D... I don't know what this means but it's written in the language of humans, which means... these Clock Tower Guardians were created by humans!"" says a certain Mech Monster Fanatic.",180.0,large,neutral,formless,Clock Tower B2
10143,ant larva,71.0,41.0,,145.0,,145.0,,,41.0,,71.0,104.0,,,,0.0,124.0,,,,24202.0,1350.0,104.0,,0.0,,,,83.0,,,102.0,48.0,10143.0," The infant form of Ants. Completely impossible to see any resemblance to their grown up forms. Very nutritious apparently, with six times as much protein as in beef. Mouthfeel... Ahem. As for its mouthfeel, fellow adventurers with discerning tastebuds, please try for yourselves.",30.0,small,neutral,insect,Ant Cavern
10144,penomena,761.0,291.0,0.09687,291.0,0.19375,291.0,0.19375,,291.0,0.09687,457.0,1744.0,0.19375,0.19375,-0.19375,47030.0,872.0,0.19375,,,5659483.0,1740.0,1162.0,0.19375,31353.0,0.09687,-0.19375,0.09687,581.0,,,2361.0,96.0,10144.0," ""Penomena tentacles are soft and chewy, and have a texture akin to cartilage when heated, but they contain mucus that has a powerful hallucinogenic effect. Before cooking a Penomena, you must remove the gland from the tip of its tentacles and soak the tentacles in light salt water for some time. Then, place the tentacles in oil to fry at medium heat. Simmer with butter, onions, and white pepper and spread a layer of cheese croutons on top. Place it in an oven to cook for ten minutes and you have yourself a perfect bowl of Penomena Soup with Croutons au Gratin!""—An excerpt from Cook's Strange Foods, by a chef dedicated to the creation of strange and novel dishes.",171.0,large,poison,fish,Clock Tower B1
10145,soldier skeleton,193.0,51.0,,51.0,,51.0,,,51.0,,116.0,253.0,,,,3656.0,101.0,,134.0,,80719.0,1330.0,253.0,,2438.0,,,,152.0,,,,51.0,10145.0," If you underestimate it just because it looks similar to normal Skels, then you'll be dead meat. Observe closely and you will discover that both their skeletons or their weapons glow with a battle-hardened dark light. Perhaps before they turned into Soldier Skeletons, they had already slaughtered the soldiers of many cities. Now, with dark energy in their possession, they have even less to fear.",72.0,medium,undead,undead,Pyramid 1F
10147,dead plankton,49.0,15.0,,53.0,,53.0,,,15.0,,49.0,38.0,,,,463.0,45.0,,,,4212.0,1130.0,38.0,,309.0,,,,30.0,,,26.0,34.0,10147.0," Despite being very similar to Planktons, its vivid purple subtly reveals hints of danger. It has always been an unchanging truth that the more beautiful something is, the greater the lurking danger. They inhabit places thick with Doppelganger aura for long periods of time and have lost their docility.",24.0,small,undead,undead,Shipwreck
10148,dagger-wielding skel pirate,162.0,20.0,,20.0,,20.0,,,20.0,,54.0,99.0,,,,1070.0,39.0,,39.0,,13046.0,1130.0,99.0,,713.0,,,,59.0,,,,39.0,10148.0," A Skel Pirate equipped with a double-edged dagger. It seems to have had extraordinary skills before its death. They appear to have died many years ago, but the double-edged daggers they wield are still razor-sharp. A friendly reminder from the Mariner Association: If you unfortunately encounter a Dagger-wielding Skel Pirate on a Shipwreck, please be thoroughly prepared for battle. The opponent is a veteran with plenty of battle experience.",48.0,medium,undead,undead,Shipwreck
10149,rocker,144.0,14.0,,14.0,,14.0,,,14.0,,48.0,86.0,,,,208.0,43.0,,,,7686.0,1040.0,57.0,,312.0,,,,29.0,,,24.0,33.0,10149.0," Those Grasshoppers that pursued music with more power eventually became Rockers. How do the violins in their hands play rock music? Humans can't understand it, but those Rockers have figured it out, displaying their power just by relying on sound waves. However, recently they've heard of an outstanding human bard who can play rock music with his lute. How about discussing music with him?",48.0,medium,earth,insect,Labyrinth Forest
10150,sasquatch,201.0,36.0,,36.0,,36.0,,,36.0,,201.0,217.0,,,,2571.0,108.0,,,,59581.0,1040.0,144.0,,1714.0,,,,72.0,,,85.0,46.0,10150.0," A large bear with pure white fur. Docile in nature and does not initiate attacks against humans. Legend has it that they used to inhabit the Arctic in the northwest. Why did they migrate here? The priceless pure white furs of the Sasquatches has attracted many ambitious and greedy rogues, but they usually meet ends that are...",89.0,large,neutral,brute,Labyrinth Forest
10151,baphomet jr.,78.0,154.0,,154.0,,154.0,,,154.0,,233.0,769.0,,,,3307.0,308.0,,713.0,,359183.0,1040.0,769.0,,4960.0,,,,461.0,,,,80.0,10151.0," Apart from their mini stature, there is almost no difference in appearance between them and the legendary Baphomet when their holding scythes. Many adventurers have suffered from their powerful attacks. Their appearance had once caused a huge panic—was that infamous demon god Baphomet about to be revived?",58.0,small,shadow,demi-human,Labyrinth Forest
10152,picky (shell),24.0,2.0,,2.0,,2.0,,,2.0,,24.0,10.0,,,,11.0,4.0,,1.0,,126.0,1310.0,10.0,,8.0,,,,6.0,,,,9.0,10152.0," Dwells together with the Picky in Morroc all year round. Rumor has it that they are the infant forms of the Picky and will shed the Egg Shell on their heads once they reach maturity. The way they move forward and hop is just like the Picky. However, strangely, it seems nobody has ever seen a Picky's Egg. A notice from the Monster Academic Research Society: A bounty for Picky's Eggs are available all year round. We will give the discoverer an academic discovery reward of 100,000 Zeny.",9.0,small,fire,brute,Morroc
10154,anubis,495.0,97.0,,97.0,,97.0,,,97.0,,165.0,581.0,,,,10271.0,291.0,,,,406717.0,1360.0,388.0,,6847.0,,,,194.0,,,342.0,65.0,10154.0," A messenger transformed from the soul power left behind in this world by the god of the underworld, Anubis. He has always existed as a guardian in Sphinx Cavern. Legend has it that he guards the entrance to the underworld and is responsible for maintaining the balance between the powers of this world and the underworld. However, there are always some adventurers who chance upon Anubis roaring with laughter during their adventures. What could have tickled them so?",129.0,large,undead,demi-human,Sphinx Cavern
10155,giant whisper,335.0,145.0,,145.0,,145.0,,,145.0,,559.0,873.0,,,,26465.0,436.0,,,,973671.0,1460.0,582.0,,39697.0,,,,291.0,,,651.0,78.0,," Legend has it that a Whisper's Cloth is actually the physical materialization of spirit power and is extremely rare. Therefore, the body size of a Giant Whisper is evidence of its great strength. Monster Researcher Bertha pushed up her glasses and remarked, ""If I sew 10 normal-sized Whisper's Cloths together, will I get a Giant Whisper? This is certainly an idea worth testing out!""",150.0,large,ghost,demi-human,Munak Cave 2F
10157,skeleton general,274.0,129.0,,129.0,,129.0,,,129.0,,274.0,773.0,,,,9811.0,386.0,,,,524097.0,1460.0,515.0,,14716.0,,,,258.0,,,538.0,74.0,10157.0," The strongest warrior amongst Skeletons. Its status is evident from the superior equipment it wields. Evil skeleton creatures do not have crafting abilities. So where did their equipment come from? Currently, no remains of any civilization have been found to bear resemblance to their equipment. The Monster Academic Research Society is in the midst of a new round of research and exploration. Should any relevant lead be found, please contact them immediately.",100.0,medium,undead,undead,Munak Cave 2F
10158,orc baby,131.0,121.0,,121.0,,121.0,,,121.0,,131.0,483.0,,,,2231.0,242.0,,486.0,,234289.0,1240.0,725.0,,3347.0,,,,362.0,,,,72.0,10158.0," A baby orc. Its adorable features betray no hint of its future appearance. Of course, if you are accidentally bitten by it, you'll learn that the first signs of its combat ability are already showing. Remember to visit Doctor Wallace for some medication.",50.0,small,earth,demi-human,Orc Village
10159,rotar zairo,671.0,194.0,,678.0,,678.0,,,194.0,,403.0,485.0,,,,59448.0,581.0,,,,1847317.0,1230.0,485.0,,39632.0,,,,388.0,,,1024.0,88.0,10159.0," A Goblin which battles by controlling some strange flying machine. It is a type of highly intelligent Goblin and has learned to control this flying machine known as a helicopter in an extremely short time. Legend has it that it was designed and crafted by the Goblin Leader. Whether the Goblin Leader possesses an intelligence surpassing humans remains to be proven. However, at least there is evidence that Rotar Zairo already has the ability to learn high-tech skills.",152.0,large,wind,demi-human,Goblin Forest
10163,wind ghost,546.0,199.0,,199.0,,199.0,,,199.0,,182.0,1196.0,,,,13601.0,598.0,,,,1293365.0,1290.0,797.0,,9067.0,,,,399.0,,,1069.0,89.0,10163.0," A Wizard obsessed with studying magic before his death. He was unfortunately struck by lightning and became a Necromancer with the help of his last obsession for magic. Being a master of wind magic, he infused the power of the wind into his staff, so he can raise a storm by simply holding it up. A notice from the Monster Academic Research Society: Adventurers are advised to remove all valuables before engaging in battle with Wind Ghosts to avoid them being blown away.",103.0,medium,wind,demi-human,Geffen Dungeon 2F
10164,wraith,833.0,205.0,,205.0,,205.0,,,205.0,,278.0,819.0,,,,32506.0,410.0,,1116.0,,2036084.0,1290.0,1229.0,,48759.0,,,,614.0,,,,90.0,10164.0," An Undead monster which perished due to starvation. The longing for food when it was alive manifested into an insatiable gaping mouth under its Manteau. However, what it wants to devour at present is no longer food, but the souls of the living. Don't approach it unless you wish to become a fulfilling meal for it.",157.0,large,undead,undead,Geffen Dungeon 2F
10165,sd colossal titan,201.0,36.0,,36.0,,36.0,,,36.0,,201.0,217.0,,,,2571.0,108.0,,,,59581.0,1040.0,144.0,,1714.0,,,,72.0,,,85.0,46.0,83000.0," A large bear with pure white fur. Docile in nature and does not initiate attacks against humans. Legend has it that they used to inhabit the Arctic in the northwest. Why did they migrate here? The priceless pure white furs of the Sasquatches has attracted many ambitious and greedy rogues, but they usually meet ends that are...",89.0,large,neutral,brute,Labyrinth Forest
10166,carat,158.0,161.0,,161.0,,161.0,,,161.0,,158.0,805.0,,,,4371.0,322.0,,759.0,,439561.0,1610.0,805.0,,6557.0,,,,483.0,,,,81.0,10166.0," A clown troupe performing at a noble banquet in Glast Heim were transformed into monsters cursed with eternal smiles after being overcome with dark energy. Roaming the ruins of the ancient city day and night, perhaps their collective memory as a family of clowns runs too deeply, because although they have lost their souls and consciousness, they still practice juggling every day. It seems that they one day hope to stand before an audience, awaiting a wave of cheers.""If you look at them from afar, they look just like Amusement Park balloons. Who can tell that they're vicious monsters?"" exclaimed Morts, who had personally been chased by the clowns.",46.0,small,wind,demi-human,Glast Heim
10167,injustice,478.0,219.0,0.0729,219.0,0.14581,219.0,0.14581,,219.0,0.0729,287.0,1312.0,0.14581,0.14581,-0.14581,11360.0,656.0,0.14581,,,1699600.0,1660.0,875.0,0.14581,7573.0,0.0729,-0.14581,0.0729,437.0,,,1229.0,92.0,10167.0," Once a great power of the world, Glast Heim was not lenient when dealing with prisoners of war and criminals. Captured envoys were sentenced to death, and had their bodies pierced with steel nails. The torture they suffered in prison transformed into the bloody tears you see flowing from their eyes. If they set their sights on you, rest assured that it is not in jest, for the accumulated resentment of a hundred years shall soon fall heavily upon your head.",108.0,medium,shadow,undead,Glast Heim Churchyard
10168,raydric,242.0,166.0,,580.0,,580.0,,,166.0,,403.0,414.0,,,,7812.0,497.0,,,,924702.0,1630.0,414.0,,5208.0,,,,331.0,,,794.0,82.0,10168.0," As the only soldiers of the Chivalry whose bodies have disappeared completely, they lurk at the entrance of the Chivalry's base all day long, running tirelessly in place, as if staying forever trapped in a long-forgotten moment. Their reddish armor and helmets hint at the heroic swordsmen they were many years ago, but now they are merely undead soldiers who wave about their weapons blindly.",93.0,medium,shadow,demi-human,Glast Heim St. Abbey
10170,raydric archer,400.0,237.0,0.07908,830.0,0.15816,830.0,0.15816,,237.0,0.07908,400.0,593.0,0.15816,0.15816,-0.15816,19261.0,712.0,0.15816,,,1959646.0,1630.0,593.0,0.15816,12841.0,0.07908,-0.15816,0.07908,474.0,,,1396.0,95.0,10170.0," As the empire's former iron bastion, although this group of expert archers' physical bodies have already withered away, their souls still remain in the endless dark of the abyss, seeking a way to continue battle. They have never laid down their bows and arrows, and they search everywhere for their next target. Legend has it that they never miss their target, and none who enter the range of their arrows have any hope of escape.""Even if the Raydric Archers come to fight us, when it comes to archery, the Euin Family will not lose,"" says Sun Euin proudly.",112.0,medium,shadow,demi-human,Glast Heim St. Abbey
10171,majoruros,519.0,184.0,,184.0,,184.0,,,184.0,,519.0,1106.0,,,,16599.0,553.0,,,,1684023.0,1610.0,737.0,,24898.0,,,,369.0,,,943.0,86.0,10171.0," Majoruros brandishes the large hammer in its hand, roaring with rage at every invader who dares disrupt his peace and quiet. Although it has sharp horns akin to those of a bull, it is more accustomed to wielding the extremely heavy hammer it carries in battle. After all, in legend, it is said to be the king of a nation of minotaurs, so it has some consciousness from its half-human blood—at the very least, it must learn to use tools.""Look at that steer! It seems I've already found inspiration for a new recipe—braised Majoruros! Sounds like it'll be just as delicious as braised Lunatic head!"" The cooking merchant Novia excitedly pointed at the Majoruros in the photo as her eyes lit up with anticipation.",149.0,large,fire,brute,Glast Heim
10172,zombie prisoner,182.0,199.0,,698.0,,698.0,,,199.0,,546.0,498.0,,,,22711.0,598.0,,,,1293365.0,1650.0,498.0,,15141.0,,,,399.0,,,1069.0,89.0,10172.0," In the long-abandoned Glast Heim Prison roams what is said to be the strongest Zombies of all time. After all, in life, these Zombies were warriors who weathered great bloodshed. Despite being unfortunately captured, their martial prowess is nothing to snuff at, and though their legs are shackled, a murderous air can still be felt seeping from behind their iron masks.""Zombies and whatnot are so cool! Especially those Zombies wearing the iron masks. Just thinking about it gets me excited!"" The headgear merchant Rosha waved her hands about enthusiastically.",103.0,medium,undead,undead,Glast Heim Prison
10173,brilight,94.0,213.0,0.07088,213.0,0.14177,213.0,0.14177,,213.0,0.07088,282.0,1063.0,0.14177,0.07088,-0.14177,11562.0,425.0,0.07088,1445.0,,993796.0,1720.0,1063.0,0.14177,17344.0,0.14177,-0.14177,0.14177,638.0,,,,91.0,10173.0," It is similar in appearance to a common Stainer except for its soft purple forewings. The Monster Researchers believe this change happened so that it can adapt to the dim environment of the Clock Tower. Its appearance is not the only thing that changed, however, as it has different habits and stronger attacks compared to the red Stainers. Be careful.""To better adapt to life in the perilous Clock Tower, these Brilight are even showing signs of shifting towards carnivorous tendencies. They're remarkable survivors!"" Monster Researcher Bertha is rapidly jotting down notes of her observations.",53.0,small,fire,insect,Clock Tower 1F
10175,joker,761.0,244.0,0.08118,244.0,0.16235,244.0,0.16235,,244.0,0.08118,457.0,974.0,0.16235,0.16235,-0.16235,73126.0,487.0,0.16235,2240.0,,4742417.0,1760.0,1461.0,0.16235,48750.0,0.08118,-0.16235,0.08118,731.0,,,,96.0,10175.0," If I have to name a monster that is the epitome of a gambler, it would be the Joker. Even in death, it remains bound to the Joker card. Once it spots you, there's no escaping without playing a game or two with it. Of course, you always have the choice of winning a gamble or winning in battle.""An obsession born from a gamble can only end in a gamble."" A flash of steel arcs across the air. The armored adventurer lightly brushes shredded cards from his shoulder before he turns to walk away.",171.0,large,wind,demi-human,Clock Tower 2F
